parent,cat,m_oct_u,m_nov_u,m_oct_rev,m_nov_rev,base_u,base_g,child,event,hps_g,t_oct_u,t_nov_u,t_oct_rev,t_nov_rev,t_skus,d_oct_u,d_nov_u,rank_val
Morph,Home Office,229.0,246.0,456593.50769886194,491665.26258109487,260.5,521439.5,1.0,0.0,1161718.0,576.714397515528,547.8786776397516,1086295.9563244472,1031981.1585082246,1.0,-347.71439751552805,-301.8786776397516,1086295.9563244472
Analog RFID,Accessories,38.0,37.0,68200.22077554195,66378.2594544746,49.5,89200.5,1.0,1.0,620586.0,679.4790741915028,645.5051204819276,1018539.1322130627,967612.1756024095,1.0,-641.4790741915028,-608.5051204819276,1018539.1322130627
Clear Case,Cases And Sleeves,1033.0,861.0,917915.4667212093,763390.3326912981,796.5,712488.5,12.0,0.0,187667.0,301.3350416666667,286.26828958333334,262322.5728967392,249206.44425190217,7.0,731.6649583333333,574.7317104166666,917915.4667212093
Pivot Laptop Sleeve,Cases And Sleeves,416.0,347.0,887211.5039756589,737855.1835571502,319.0,688656.0,12.0,0.0,1286397.0,341.99014536109405,324.8906380930393,706527.9831642578,671201.5840060449,12.0,74.00985463890595,22.109361906960714,887211.5039756589
Cleaning Kit,Accessories,449.0,437.0,352821.7720723977,343396.1776294999,587.0,461463.0,1.0,1.0,1401694.0,1118.2059020923405,1062.2956069877234,858782.1328069174,815843.0261665715,1.0,-669.2059020923405,-625.2956069877234,858782.1328069174
Leather Desk Mat,Home Office,725.0,780.0,689981.4539150739,742980.1497286729,826.5,787973.5,2.0,2.0,3155735.0,913.8501926723543,868.1576830387366,843949.5565843611,801752.078755143,2.0,-188.8501926723543,-88.15768303873665,843949.5565843611
Watchband - Ellipse Leather,Accessories,287.0,278.0,832874.8538227321,810624.6946341149,365.5,1089334.5,14.0,1.0,1444279.0,253.9037306361268,241.20854410432042,749567.3602177054,712088.9922068199,14.0,33.096269363873205,36.791455895679576,832874.8538227321
Phone Lanyard,Accessories,405.0,392.0,350055.93220989115,340704.22687163914,504.5,457845.5,39.0,3.0,873153.0,794.4863990864067,754.7620791320862,821862.0295135444,780768.9280378671,38.0,-389.48639908640666,-362.7620791320862,821862.0295135444
Wing Tote,Bags and Backpacks,372.0,406.0,785579.125759674,856669.9383219392,369.0,780781.0,2.0,2.0,2797246.0,336.7336430728226,319.8969609191815,719476.5897739143,683502.7602852187,2.0,35.26635692717741,86.10303908081852,785579.125759674
Pivot Meridian,Bags and Backpacks,96.0,103.0,618687.2911254149,674675.2633179292,91.5,614908.5,5.0,1.0,694374.0,157.80977917325276,149.91929021459012,784062.8866474974,744859.7423151225,5.0,-61.809779173252764,-46.91929021459012,784062.8866474974
Nimbus MagSafe,Cases And Sleeves,853.0,711.0,782608.6781202308,650861.5671237557,657.0,607463.0,15.0,2.0,292339.0,0.0,0.0,0.0,0.0,0.0,853.0,711.0,782608.6781202308
Nimbus Coloured,Cases And Sleeves,934.0,779.0,746015.790011839,620428.8551366888,715.5,579059.5,23.0,5.0,633391.0,0.0,0.0,0.0,0.0,0.0,934.0,779.0,746015.790011839
Pivot Lunar Daypack,Bags and Backpacks,130.0,141.0,487878.8450304762,532029.3352711835,126.0,484899.0,5.0,0.0,657201.0,223.80767982736575,212.61729583599745,725061.3621705648,688808.2940620366,5.0,-93.80767982736575,-71.61729583599745,725061.3621705648
9 to 9 Backpack,Bags and Backpacks,246.0,266.0,709744.9490985714,773973.164295339,240.0,705410.0,8.0,0.0,986072.0,247.79399265540167,235.40429302263158,623238.9148135392,592076.9690728623,8.0,-1.7939926554016665,30.595706977368422,709744.9490985714
MagSafe Card Wallet,Accessories,157.0,154.0,192823.57474621927,187672.31436930943,202.0,252198.0,6.0,2.0,519357.0,539.2061383685443,512.2458314501171,675228.8439341837,641467.4017374745,7.0,-382.2061383685443,-358.24583145011707,675228.8439341837
Reflex MagSafe,Cases And Sleeves,549.0,456.0,602329.7472958048,500931.42870820034,420.0,467530.0,11.0,3.0,1214923.0,569.0804743347977,540.6264506180578,666922.4159997569,633576.295199769,10.0,-20.080474334797714,-84.62645061805779,666922.4159997569
Taxi Organiser,Home Office,489.0,526.0,509076.7681172742,548179.855056968,548.5,581376.5,17.0,13.0,2041961.0,660.4167618191724,627.3959237282138,662013.0110436727,628912.360491489,17.0,-171.4167618191724,-101.3959237282138,662013.0110436727
Dome Airpods,Cases And Sleeves,253.0,212.0,347502.6384669769,289002.81606321444,192.5,269732.5,11.0,1.0,192508.0,452.4054654852074,429.78519221094706,656727.5266042396,623891.1502740276,12.0,-199.4054654852074,-217.78519221094706,656727.5266042396
Pivot Travel Sling,Accessories,202.0,197.0,357104.90542685863,347564.8875522467,260.0,467065.0,6.0,4.0,1497656.0,393.42998254859225,373.7584834211626,653055.4674140448,620402.6940433425,6.0,-191.42998254859225,-176.75848342116262,653055.4674140448
Field Tote,Bags and Backpacks,300.0,327.0,563346.2817333327,614326.1812865766,294.5,559905.5,7.0,4.0,1688545.0,357.47594977374854,339.6021522850611,647663.3619456609,615280.1938483779,7.0,-57.47594977374854,-12.602152285061095,647663.3619456609
Skipper Sleeve,Cases And Sleeves,489.0,409.0,632671.0470595921,526164.9668287634,369.0,491081.0,27.0,6.0,912303.0,345.74107463188983,328.45402090029535,455537.7449914775,432760.8577419036,28.0,143.25892536811017,80.54597909970465,632671.0470595921
Folio,Home Office,311.0,335.0,602786.9312338476,649088.06154337,354.5,688395.5,2.0,0.0,1375143.0,340.08428402863956,323.0800698272075,614541.0137648188,583813.9630765778,2.0,-29.08428402863956,11.919930172792476,614541.0137648188
Fleet,Bags and Backpacks,142.0,154.0,415300.051455534,452882.5395169038,136.5,412763.5,7.0,0.0,432927.0,208.11989335317463,197.7138986855159,607345.8668632831,576978.573520119,7.0,-66.11989335317463,-43.713898685515886,607345.8668632831
Track Nylon Watchband,Accessories,57.0,56.0,139210.6266000523,135491.6301765421,73.5,182076.5,2.0,0.0,0.0,240.01668913258837,228.01585467595896,594383.247755808,564664.0853680177,3.0,-183.01668913258837,-172.01585467595896,594383.247755808
Pivot Orbit Fanny,Bags and Backpacks,282.0,308.0,511521.2470575501,557811.2513407202,278.0,508397.0,5.0,3.0,1471269.0,346.7929578939634,329.45330999926523,587048.1706616317,557695.7621285501,5.0,-64.79295789396338,-21.45330999926523,587048.1706616317
Buoy Tote,Bags and Backpacks,253.0,274.0,574335.9036645914,626310.3066704182,247.0,570828.0,7.0,2.0,798357.0,211.88523334979607,201.29097168230626,441932.3520845441,419835.73448031687,7.0,41.11476665020393,72.70902831769374,574335.9036645914
Pivot Pouch,Wallet and Pouches,131.0,125.0,149545.80439195796,143555.43982844643,243.0,295057.0,15.0,12.0,1351249.0,494.5803178383193,469.8513019464033,553585.25393055,525905.9912340224,15.0,-363.5803178383193,-344.8513019464033,553585.25393055
Log Bi-Fold,Wallet and Pouches,116.0,112.0,86378.96263437375,82918.87574727106,222.5,170427.5,6.0,0.0,199293.0,628.6532786747534,597.2206147410158,524376.9900840119,498158.14057981136,8.0,-512.6532786747534,-485.22061474101577,524376.9900840119
Watchband - Steel,Accessories,64.0,63.0,503713.5324442197,490256.8813868567,82.5,658817.5,4.0,1.0,1769646.0,63.91785396975426,60.72196127126654,503949.9461198353,478752.4488138435,4.0,0.08214603024573819,2.2780387287334634,503949.9461198353
POP Cable,Accessories,215.0,209.0,199741.80612034263,194405.72596087912,278.5,261246.5,5.0,2.0,1760589.0,523.4855833369695,497.31130417012105,503425.951070242,478254.6535167298,3.0,-308.4855833369695,-288.31130417012105,503425.951070242
Money Clip,Accessories,165.0,160.0,483351.4461364721,470438.7659526208,214.5,632185.5,1.0,0.0,1094426.0,103.11943577690792,97.96346398806251,288940.659046896,274493.6260945512,1.0,61.88056422309208,62.036536011937486,483351.4461364721
Stack Grip,Accessories,328.0,318.0,478143.5627298476,465370.01057261555,426.0,625374.0,4.0,0.0,695721.0,0.0,0.0,0.0,0.0,0.0,328.0,318.0,478143.5627298476
POP Adapter,Accessories,171.0,166.0,388618.659271466,378236.7549640303,217.5,508282.5,7.0,5.0,6467665.0,228.63004011287302,217.19853810722935,461767.7322306347,438679.345619103,9.0,-57.63004011287302,-51.19853810722935,461767.7322306347
Field Duffle,Bags and Backpacks,128.0,139.0,377583.68911036017,411753.0431434826,122.5,375277.5,8.0,3.0,703131.0,160.11847004897277,152.11254654652413,457168.83851281484,434310.39658717404,8.0,-32.11847004897277,-13.112546546524129,457168.83851281484
Pivot Crossbody,Accessories,113.0,111.0,228342.92224381136,222242.76644465426,145.5,298654.5,5.0,5.0,1173666.0,233.01770720930125,221.36682184883617,455582.7119836804,432803.5763844964,5.0,-120.01770720930125,-110.36682184883617,455582.7119836804
Desk Trio Bundle,Home Office,218.0,235.0,422891.85885117436,455374.9304788641,248.5,482951.5,2.0,2.0,2834132.0,221.2514877656529,210.18891337737028,433545.5795930348,411868.3006133831,2.0,-3.251487765652911,24.811086622629716,433545.5795930348
Frosted Clear,Cases And Sleeves,582.0,486.0,430903.5293636919,358363.7062068503,446.5,334468.5,13.0,0.0,36963.0,0.0,0.0,0.0,0.0,0.0,582.0,486.0,430903.5293636919
Mesa,Home Office,75.0,81.0,355350.20996795007,382645.28808711935,82.5,405817.5,5.0,0.0,476881.0,89.84315710105112,85.35099924599858,391785.356378083,372196.08855917887,5.0,-14.84315710105112,-4.35099924599858,391785.356378083
Sunday Crossbody,Bags and Backpacks,219.0,237.0,304146.1505303065,331669.79044114996,211.5,302288.5,9.0,7.0,972027.0,278.306498538254,264.3911736113413,371350.1580433119,352782.6501411463,9.0,-59.306498538254004,-27.391173611341287,371350.1580433119
Dart Desk Mat,Home Office,196.0,209.0,338944.64870246855,364979.5866450765,218.0,387082.0,8.0,0.0,708243.0,214.18745922173494,203.47808626064818,369759.8318248461,351271.8402336037,8.0,-18.18745922173494,5.521913739351817,369759.8318248461
System Tote,Bags and Backpacks,97.0,105.0,358194.76629723865,390609.52396661625,93.0,356007.0,5.0,0.0,116961.0,101.45422160142456,96.38151052135333,364313.625681608,346097.94439752755,5.0,-4.454221601424564,8.618489478646666,364313.625681608
Vegan Leather Zippered,Cases And Sleeves,246.0,206.0,282900.9597545929,235276.41227919204,186.5,219588.5,10.0,2.0,245709.0,302.7593858592948,287.62141656633,363391.69538933045,345222.11061986384,10.0,-56.75938585929481,-81.62141656633003,363391.69538933045
Organiser with Planner,Home Office,185.0,199.0,358786.6608332262,386345.6988212496,208.0,409742.0,5.0,0.0,295075.0,102.52994884615212,97.40345140384451,190178.5259565451,180669.59965871784,5.0,82.47005115384788,101.59654859615549,358786.6608332262
Pivot Duffle,Bags and Backpacks,48.0,50.0,260447.24829012115,284016.36552276893,43.5,258856.5,5.0,0.0,341321.0,64.92315605590062,61.67699825310559,355154.1293413893,337396.4228743198,5.0,-16.92315605590062,-11.676998253105587,355154.1293413893
Halo 2.0,Cases And Sleeves,378.0,316.0,347829.872560646,289274.96241295,288.5,269986.5,14.0,1.0,166438.0,0.0,0.0,0.0,0.0,0.0,378.0,316.0,347829.872560646
Keychain,Travel,473.0,523.0,218931.6036560702,242683.5916164692,672.0,314893.0,11.0,3.0,1005563.0,857.5118043728877,814.6362141542434,343813.21070118016,326622.55016612116,20.0,-384.5118043728877,-291.63621415424336,343813.21070118016
Keychain,Home Office,177.0,190.0,86648.1230532654,93303.71863552657,196.0,98954.0,12.0,11.0,1005563.0,857.5118043728877,814.6362141542434,343813.21070118016,326622.55016612116,20.0,-680.5118043728877,-624.6362141542434,343813.21070118016
PUFT Laptop Bag,Cases And Sleeves,138.0,115.0,337920.734641527,281033.9637948739,105.0,262295.0,6.0,3.0,858542.0,83.50052570244029,79.32549941731827,204513.88459647977,194288.19036665576,6.0,54.499474297559715,35.67450058268173,337920.734641527
Miles Roll Top,Bags and Backpacks,33.0,34.0,81947.51544382892,89363.33807624286,28.0,81447.0,7.0,3.0,219731.0,104.9835573507889,99.73437948324946,331238.48685393005,314676.56251123355,7.0,-71.9835573507889,-65.73437948324946,331238.48685393005
Field Daypack,Bags and Backpacks,121.0,130.0,291590.96652763215,317978.4277858723,115.0,289810.0,8.0,6.0,1262859.0,135.62767129270185,128.84628772806676,311351.1476755835,295783.5902918043,8.0,-14.627671292701848,1.1537122719332444,311351.1476755835
Cirque,Home Office,102.0,110.0,291904.8070135733,314326.53151885816,113.5,333361.5,5.0,0.0,330157.0,118.42503869564982,112.50378676086733,311064.4399175524,295511.2179216748,5.0,-16.425038695649818,-2.503786760867328,311064.4399175524
Square Pouch,Wallet and Pouches,214.0,205.0,125559.99683630867,120530.4330936077,417.5,247732.5,4.0,1.0,587623.0,515.7963575089107,490.0065396334651,309746.372530683,294259.0539041488,4.0,-301.79635750891066,-285.0065396334651,309746.372530683
Bar Desk Organiser,Home Office,81.0,86.0,304646.68872234295,328047.1396976571,87.0,347913.0,8.0,0.0,286918.0,0.0,0.0,0.0,0.0,0.0,81.0,86.0,304646.68872234295
Convertible Totepack,Bags and Backpacks,16.0,17.0,39658.22275509178,43247.085019868,14.0,39416.0,3.0,2.0,569629.0,98.16754523386487,93.25916797217162,289499.90096773213,275024.9059193455,7.0,-82.16754523386487,-76.25916797217162,289499.90096773213
Conoid,Accessories,65.0,63.0,278430.81035235926,270992.5621870782,84.5,364165.5,1.0,0.0,464384.0,50.14398444160273,47.636785219522594,219379.93193201197,208410.93533541134,1.0,14.856015558397267,15.363214780477406,278430.81035235926
Pivot Classic Tote,Bags and Backpacks,59.0,64.0,216868.5804121043,236494.0555490772,56.0,215544.0,5.0,1.0,553899.0,72.10295910211912,68.49781114701315,275802.87117068435,262012.72761215013,5.0,-13.102959102119115,-4.497811147013152,275802.87117068435
Check-in Passport Wallet,Travel,180.0,200.0,173149.9644854734,191935.08186059317,255.5,249044.5,5.0,2.0,696928.0,300.5699278680135,285.5414314746128,275440.9002055839,261668.85519530467,5.0,-120.56992786801351,-85.5414314746128,275440.9002055839
Pivot Briefpack,Bags and Backpacks,45.0,47.0,216883.67259145598,236510.5134919252,41.0,215559.0,5.0,0.0,249438.0,65.67212975543478,62.38852326766304,272972.5725775772,259323.94394869835,5.0,-20.67212975543478,-15.38852326766304,272972.5725775772
PUFT Oversized Tote,Bags and Backpacks,71.0,76.0,271490.19592175575,296058.64230467373,68.0,269832.0,5.0,4.0,1164525.0,52.69146997929607,50.05689648033127,204306.86227974258,194091.51916575545,5.0,18.308530020703927,25.943103519668732,271490.19592175575
Leather Tray,Home Office,210.0,227.0,139082.78542784462,149765.9801658668,239.5,158835.5,2.0,2.0,582444.0,405.5644727499781,385.28624911247914,267342.59546287963,253975.4656897356,2.0,-195.5644727499781,-158.28624911247914,267342.59546287963
All Time Tote,Bags and Backpacks,128.0,138.0,254656.88214552117,277702.0014500741,123.5,253101.5,6.0,1.0,585734.0,110.06773856578207,104.56435163749295,215241.2068750606,204479.14653130755,6.0,17.932261434217935,33.43564836250705,254656.88214552117
Pivot Key Tote,Bags and Backpacks,66.0,72.0,253232.6834873663,276148.9202433148,64.0,251686.0,3.0,0.0,2999.0,55.9424825310559,53.1453584045031,220328.33156285016,209311.9149847077,3.0,10.057517468944098,18.8546415954969,253232.6834873663
Desk & Mouse Pad,Home Office,134.0,144.0,195178.93825806212,210170.9777096522,151.5,222898.5,2.0,0.0,443587.0,179.56159568320538,170.5835158990451,248222.9336615135,235811.7869784378,2.0,-45.56159568320538,-26.583515899045096,248222.9336615135
Clear Magnetic,Cases And Sleeves,399.0,334.0,248141.99972627216,206368.89843719846,304.5,192608.5,15.0,1.0,303523.0,263.8919347826087,250.69733804347825,137487.69802173914,130613.31312065216,9.0,135.1080652173913,83.30266195652175,248141.99972627216
UrbanGentleman,Wallet and Pouches,89.0,85.0,109060.93201028722,104692.2722205038,170.5,215179.5,4.0,1.0,249788.0,202.92506220188875,192.7788090917943,245264.4234499613,233001.20227746322,4.0,-113.92506220188875,-107.7788090917943,245264.4234499613
Stack Lanyard,Accessories,101.0,99.0,239403.2234051164,233007.59288921935,129.5,313120.5,5.0,1.0,731015.0,81.1352541547759,77.0784914470371,200139.3040911113,190132.33888655575,3.0,19.864745845224107,21.921508552962905,239403.2234051164
Scout Crossbody Bag,Accessories,97.0,92.0,125564.92461080913,122210.47159992275,121.0,164229.0,7.0,0.0,209967.0,176.9426601079411,168.09552710254405,232276.50625114903,220662.68093859157,7.0,-79.9426601079411,-76.09552710254405,232276.50625114903
AirTag,Cases And Sleeves,260.0,219.0,119364.4331202353,99270.20255650647,199.0,92651.0,11.0,2.0,220362.0,454.2441062346834,431.5319009229492,224191.01318931527,212981.4625298495,11.0,-194.2441062346834,-212.5319009229492,224191.01318931527
Osgo,Home Office,120.0,128.0,169230.64759271313,182229.55294475256,135.0,193265.0,2.0,2.0,838052.0,156.43491893883564,148.61317299189386,222675.79869473097,211542.00875999447,2.0,-36.43491893883564,-20.61317299189386,222675.79869473097
Mouse Pad,Home Office,220.0,235.0,106958.16499355042,115173.81081867957,246.5,122148.5,7.0,1.0,266612.0,432.7050184071548,411.06976748679705,222475.8789880984,211352.08503869348,7.0,-212.7050184071548,-176.06976748679705,222475.8789880984
Retreat Crossbody,Bags and Backpacks,187.0,204.0,218550.35226452805,238328.01898044287,184.5,217215.5,4.0,1.0,546453.0,168.50968283418524,160.08419869247598,199654.97023379998,189672.22172210997,4.0,18.49031716581476,43.91580130752402,218550.35226452805
Cobble Phone Sling,Accessories,56.0,54.0,71282.59352072385,69378.28695421635,68.0,93232.0,6.0,6.0,391529.0,153.65595491917503,145.9731571732163,217411.79039222497,206541.20087261373,6.0,-97.65595491917503,-91.9731571732163,217411.79039222497
Mount Adjustable,Home Office,110.0,118.0,192795.00718895407,207603.932678777,124.0,220176.0,5.0,0.0,363688.0,116.83710112577641,110.99524606948759,207450.66407685762,197078.1308730147,5.0,-6.837101125776414,7.004753930512408,207450.66407685762
Stack Plate,Accessories,262.0,254.0,204954.65924613952,199479.31829456118,335.5,268064.5,10.0,0.0,562275.0,0.0,0.0,0.0,0.0,0.0,262.0,254.0,204954.65924613952
Pilot Backpack,Bags and Backpacks,61.0,65.0,136527.87899658576,148882.9397880548,56.0,135694.0,7.0,2.0,313416.0,97.76179303033923,92.87370337882227,203057.44597775323,192904.5736788656,7.0,-36.761793030339234,-27.87370337882227,203057.44597775323
Frosted Hardshell,Cases And Sleeves,141.0,118.0,199502.00134268295,165917.1292990389,108.5,154854.0,3.0,0.0,80530.0,0.0,0.0,0.0,0.0,0.0,141.0,118.0,199502.00134268295
Zip Wallet,Wallet and Pouches,98.0,94.0,90550.99139102892,86923.7853171096,191.0,178659.0,4.0,0.0,697850.0,207.05535272523974,196.70258508897774,197831.24222040156,187939.68010938147,21.0,-109.05535272523974,-102.70258508897774,197831.24222040156
PUFT Charms,Bags and Backpacks,328.0,350.0,189886.7821671455,207070.545325366,298.0,188727.0,43.0,38.0,915349.0,314.5811102778562,298.8520547639634,197805.2801298688,187915.01612337536,46.0,13.418889722143774,51.147945236036605,197805.2801298688
DAILY-RUNDWN-PACK,Bags and Backpacks,90.0,98.0,196913.7008732943,214733.3635154096,89.0,195711.0,1.0,0.0,428648.0,0.0,0.0,0.0,0.0,0.0,90.0,98.0,196913.7008732943
Wing Crossbody,Bags and Backpacks,97.0,105.0,173745.6963505086,189468.77544939605,95.5,172684.5,2.0,2.0,713406.0,110.5204878626863,104.99446346955197,195696.05978898908,185911.2567995396,2.0,-13.520487862686295,0.005536530448026156,195696.05978898908
Pivot Weekender,Bags and Backpacks,21.0,22.0,87013.96005219262,94888.26949032713,17.5,86482.5,5.0,0.0,51987.0,39.94150815217391,37.94443274456521,188620.2014959239,179189.1914211277,5.0,-18.94150815217391,-15.944432744565212,188620.2014959239
Phone Sling,Accessories,4.0,4.0,3475.3628458946528,3382.518913574635,4.5,4545.5,2.0,2.0,40470.0,124.61987577639754,118.38888198757765,186126.71587447068,176820.3800807471,2.0,-120.61987577639754,-114.38888198757765,186126.71587447068
COMM-EVRYDAY-PACK,Bags and Backpacks,51.0,55.0,186086.5714063889,202926.43531623163,50.0,184950.0,1.0,0.0,70180.0,0.0,0.0,0.0,0.0,0.0,51.0,55.0,186086.5714063889
Utility Phone Sling,Accessories,39.0,38.0,51916.362477914794,50529.42262215415,47.5,67902.5,4.0,3.0,245010.0,130.94710638793623,124.39975106853942,184548.13034853767,175320.72383111075,4.0,-91.94710638793623,-86.39975106853942,184548.13034853767
Gravity Duffle,Bags and Backpacks,13.0,13.0,35205.526773696954,38391.44328160369,9.5,34990.5,4.0,2.0,155158.0,49.29025232919255,46.82573971273292,183108.6897304902,173953.25524396572,4.0,-36.29025232919255,-33.82573971273292,183108.6897304902
Sol Box,Bags and Backpacks,100.0,108.0,178369.43703122262,194510.94053993805,95.0,177280.0,6.0,5.0,640407.0,109.91372418787971,104.41803797848571,175100.41000595244,166345.38950565484,6.0,-9.913724187879708,3.581962021514286,178369.43703122262
Eyewear Cover,Travel,95.0,105.0,88901.13878776088,98546.0632431165,132.0,127868.0,6.0,3.0,294480.0,172.8134992018959,164.17282424180112,172640.685702694,164008.65141755933,6.0,-77.8134992018959,-59.17282424180112,172640.685702694
AM-PM-PACK,Bags and Backpacks,48.0,53.0,172003.05270803298,187568.4316485433,47.5,170952.5,1.0,0.0,40488.0,0.0,0.0,0.0,0.0,0.0,48.0,53.0,172003.05270803298
Puft Baguette Bag,Bags and Backpacks,45.0,48.0,144189.67538079582,157238.0887739056,41.0,143309.0,5.0,5.0,1223320.0,49.7725,47.283874999999995,171835.81366379076,163244.0229806012,5.0,-4.772500000000001,0.7161250000000052,171835.81366379076
Siesta Sleeve,Cases And Sleeves,146.0,121.0,158481.79054573213,131802.40577312803,111.0,123014.0,6.0,0.0,113185.0,94.07674936476566,89.37291189652738,105065.76337169325,99812.47520310858,6.0,51.92325063523434,31.627088103472616,158481.79054573213
Flash Pouch,Home Office,124.0,134.0,122904.45285379878,132344.96125293765,140.5,140359.5,2.0,0.0,12783.0,153.92531659187063,146.22905076227707,155746.19444888245,147958.88472643832,2.0,-29.925316591870626,-12.229050762277069,155746.19444888245
Pivot Top Handle Tote,Bags and Backpacks,55.0,59.0,154793.44059329614,168801.43941893268,52.0,153848.0,5.0,2.0,103749.0,28.826358695652175,27.38504076086957,79857.1544723732,75864.29674875454,5.0,26.173641304347825,31.61495923913043,154793.44059329614
