SKU,parent,cat,gross,units,deliv,days,is_mapped,base_gross,base_units,asp,cat_base,f_oct,f_nov,oct_gross,nov_gross,oct_units,nov_units,Sold_in_event,In_inventory_7Sep,In_projection_sheet,COGS,Product_Name,Phone_Model,Sub_Category,Brand,sep_hps_gross,oct_cogs_value,nov_cogs_value,oct_margin,oct_margin_pct,lifecycle,event_ratio,event_dependent
ALL-MSTRD-9TO9-BACKPACK,9 to 9 Backpack,Bags and Backpacks,11996.0,4.0,3.0,4,True,5998.0,2.0,2999.0,27770135.0,1.0061452901129435,1.097196189868784,6034.859450097435,6580.982746832967,3,3,True,True,True,,Mustard 9 to 9 Backpack,,Backpacks,DailyObjects,4598.0,,,,,Continue (active Jul/Aug26),0.766588862954318,False
ALL-MSTRD-CMUTE-MSG-LARGE,Commute Messenger,Bags and Backpacks,51985.0,15.0,12.0,12,True,25992.5,7.5,3465.6666666666665,27770135.0,1.0061452901129435,1.097196189868784,26152.231453260683,28518.87196516437,8,9,True,True,True,,All Mustard Commute Messenger Bag - Large,,Messenger Bags,DailyObjects,35988.0,,,,,Continue (active Jul/Aug26),1.384553236510532,False
ALL-MSTRD-CMUTE-MSG-MED,Commute Messenger,Bags and Backpacks,23093.0,7.0,5.0,6,True,11546.5,3.5,3299.0,27770135.0,1.0061452901129435,1.097196189868784,11617.456592289102,12668.775806319916,4,4,True,True,True,,All Mustard Commute Messenger Bag - Medium,,Messenger Bags,DailyObjects,22392.0,,,,,Continue (active Jul/Aug26),1.939288962023124,False
ALL-MSTRD-SNDY-CROSBODY,Sunday Crossbody,Bags and Backpacks,25382.0,18.0,15.0,17,True,12691.0,9.0,1410.111111111111,27770135.0,1.0061452901129435,1.097196189868784,12768.989876823369,13924.51684562474,10,10,True,True,True,,Mustard Sunday Crossbody Bag,,Crossbody Bags,DailyObjects,47952.0,,,,,Continue (active Jul/Aug26),3.7784256559766765,True
ALL-MSTRD-TRIL-WEKNDR,Weekender,Bags and Backpacks,52784.0,16.0,10.0,15,True,26392.0,8.0,3299.0,27770135.0,1.0061452901129435,1.097196189868784,26554.186496660805,28957.20184301695,9,9,False,True,True,,,,Bags and Backpacks,,0.0,,,,,Continue (active Jul/Aug26),0.0,False
ALL-MUSTRD-PEDAL-DAYPACK,Pedal Daypack,Bags and Backpacks,119167.0,83.0,69.0,44,True,59583.5,41.5,1435.7469879518071,27770135.0,1.0061452901129435,1.097196189868784,59949.65789344457,65374.7891790467,42,46,True,True,True,,Mustard Pedal Daypack,,Backpacks,DailyObjects,165462.0,,,,,Continue (active Jul/Aug26),2.7769768476172096,False
ALL-NVY-9TO9-BACKPACK,9 to 9 Backpack,Bags and Backpacks,407562.0,138.0,97.0,56,True,203781.0,69.0,2953.3478260869565,27770135.0,1.0061452901129435,1.097196189868784,205033.29336450572,223587.7367676507,70,76,True,True,True,,Navy 9 to 9 Backpack,,Backpacks,DailyObjects,298870.0,,,,,Continue (active Jul/Aug26),1.4666234830528853,False
ALL-NVY-ALL-TIM-TOTE,All Time Tote,Bags and Backpacks,104349.0,51.0,42.0,30,True,52174.5,25.5,2046.058823529412,27770135.0,1.0061452901129435,1.097196189868784,52495.12743899777,57245.66260830888,26,28,True,True,True,,Navy All Time Tote Bag,,Tote Bags,DailyObjects,147608.0,,,,,Continue (active Jul/Aug26),2.829121505716394,False
ALL-NVY-CMUTE-MSG-LARGE,Commute Messenger,Bags and Backpacks,457668.0,132.0,102.0,58,True,228834.0,66.0,3467.181818181818,27770135.0,1.0061452901129435,1.097196189868784,230240.2513177053,251075.79291243333,67,73,True,True,True,,Navy Commute Messenger Bag - Large,,Messenger Bags,DailyObjects,315395.0,,,,,Continue (active Jul/Aug26),1.3782698375241442,False
ALL-NVY-CMUTE-MSG-MED,Commute Messenger,Bags and Backpacks,335897.0,103.0,67.0,55,True,167948.5,51.5,3261.135922330097,27770135.0,1.0061452901129435,1.097196189868784,168980.59225653368,184272.45429417747,52,57,True,True,True,,Navy Commute Messenger Bag - Medium,,Messenger Bags,DailyObjects,103563.0,,,,,Continue (active Jul/Aug26),0.6166354567025011,False
ALL-NVY-SNDY-CROSBODY,Sunday Crossbody,Bags and Backpacks,101329.0,71.0,56.0,44,True,50664.5,35.5,1427.1690140845071,27770135.0,1.0061452901129435,1.097196189868784,50975.84805092723,55588.89636160701,36,39,True,True,True,,Navy Sunday Crossbody Bag,,Crossbody Bags,DailyObjects,189810.0,,,,,Continue (active Jul/Aug26),3.746410208331277,True
ALL-OLIVE-PEDAL-DAYPACK,Pedal Daypack,Bags and Backpacks,131460.0,90.0,67.0,48,True,65730.0,45.0,1460.6666666666667,27770135.0,1.0061452901129435,1.097196189868784,66133.92991912378,72118.70556007518,46,50,True,True,True,,Olive Pedal Daypack,,Backpacks,DailyObjects,135487.0,,,,,Continue (active Jul/Aug26),2.061265784268979,False
ALL-RED-PEDAL-DAYPACK,Pedal Daypack,Bags and Backpacks,219847.0,153.0,112.0,55,True,109923.5,76.5,1436.9084967320262,27770135.0,1.0061452901129435,1.097196189868784,110599.01179773014,120607.64537704128,77,84,True,True,True,,Red Pedal Daypack,,Backpacks,DailyObjects,276371.0,,,,,Continue (active Jul/Aug26),2.514212156636206,False
ALL-SET-EMPLY-ONBRDNING-KIT,Onboarding Kits,Gifts,2699.0,1.0,1.0,1,True,1349.5,0.5,2699.0,373275.0,1.5205109967764667,0.7234469760665347,2051.9295901498417,976.2916942017888,1,1,False,False,False,,,,Gifts,,0.0,,,,,Continue (active Jul/Aug26),0.0,False
ALL-WHT-SNDY-CROSBODY,Sunday Crossbody,Bags and Backpacks,50164.0,36.0,26.0,25,True,25082.0,18.0,1393.4444444444443,27770135.0,1.0061452901129435,1.097196189868784,25236.13616661285,27519.874834288843,19,20,True,True,True,,Ivory Sunday Crossbody Bag,,Crossbody Bags,DailyObjects,73926.0,,,,,Continue (active Jul/Aug26),2.9473726178135715,False
AM-PM-PACK,AM-PM-PACK,Bags and Backpacks,341905.0,95.0,57.0,38,False,170952.5,47.5,3599.0,27770135.0,1.0061452901129435,1.097196189868784,172003.05270803298,187568.4316485433,48,53,False,False,False,,,,Bags and Backpacks,,40488.0,,,,,Continue (active Jul/Aug26),0.2368377180795835,False
AMBR-CHRCOL-MILS-ROLL-TOP-BACKPCK,Miles Roll Top,Bags and Backpacks,26241.0,9.0,6.0,7,True,13120.5,4.5,2915.6666666666665,27770135.0,1.0061452901129435,1.097196189868784,13201.129278926875,14395.762609173382,5,5,True,True,True,,Amber-Charcoal Miles Roll Top Backpack,,Backpacks,DailyObjects,59831.0,,,,,Continue (active Jul/Aug26),4.56011584924355,True
AMBR-COBLE-SLNG,Phone Sling,Accessories,4596.0,4.0,4.0,2,True,2298.0,2.0,1149.0,41916483.0,0.7645721803750198,0.7441467195192246,1756.9868705017957,1710.049161455178,2,2,True,True,True,,Amber Cobble Phone Sling,,Phone Bags,DailyObjects,21584.0,,,,,Continue (active Jul/Aug26),9.392515230635334,True
AMBR-DUFLE,Gravity Duffle,Bags and Backpacks,14496.0,4.0,4.0,3,True,7248.0,2.0,3624.0,27770135.0,1.0061452901129435,1.097196189868784,7292.5410627386145,7952.477984168947,3,3,True,True,True,,Amber Gravity Duffle Bag,,Duffle Bags,DailyObjects,39589.0,,,,,Continue (active Jul/Aug26),5.462058498896247,True
AMBR-MILS-ROLL-TOP-BACKPCK,Miles Roll Top,Bags and Backpacks,2899.0,1.0,1.0,1,True,1449.5,0.5,2899.0,27770135.0,1.0061452901129435,1.097196189868784,1458.4075980187115,1590.3858772148026,1,1,True,True,True,,Amber Miles Roll Top Backpack,,Backpacks,DailyObjects,15745.0,,,,,Continue (active Jul/Aug26),10.86236633321835,True
AMBR-POLE-CNVRTBL-TOTPACK,Convertible Totepack,Bags and Backpacks,14695.0,5.0,5.0,4,True,7347.5,2.5,2939.0,27770135.0,1.0061452901129435,1.097196189868784,7392.652519104852,8061.649005060891,3,3,True,True,True,,Amber Pole Convertible Totepack,,Tote Bags,DailyObjects,40937.0,,,,,Continue (active Jul/Aug26),5.571554950663491,True
AMBR-SVNNA-SLVE-LARGE,Savanna Sleeve,Cases And Sleeves,999.0,1.0,1.0,1,True,499.5,0.5,999.0,34345120.5,1.2883232034218228,1.0714423217936824,643.5174401092005,535.1854397359443,1,1,True,True,True,,Amber Savanna Sleeve Large,,Laptop Bags and Sleeves,DailyObjects,5196.0,,,,,Continue (active Jul/Aug26),10.402402402402402,True
AMBR-SVNNA-SLVE-MED,Savanna Sleeve,Cases And Sleeves,3996.0,4.0,4.0,2,True,1998.0,2.0,999.0,34345120.5,1.2883232034218228,1.0714423217936824,2574.069760436802,2140.7417589437773,3,3,True,True,True,,Amber Savanna Sleeve Medium,,Laptop Bags and Sleeves,DailyObjects,17584.0,,,,,Continue (active Jul/Aug26),8.8008008008008,True
AMBR-UTLTY-PHN-SLNG,Phone Sling,Accessories,4495.0,5.0,4.0,4,True,2247.5,2.5,899.0,41916483.0,0.7645721803750198,0.7441467195192246,1718.375975392857,1672.469752119457,2,2,True,True,True,,Amber Utility Phone Sling,,Phone Bags,DailyObjects,18886.0,,,,,Continue (active Jul/Aug26),8.403114571746384,True
ANGL-MGSAFE-WLT-STND,ANGL-MGSAFE-WLT-STND,Accessories,88911.0,89.0,51.0,7,False,44455.5,44.5,999.0,41916483.0,0.7645721803750198,0.7441467195192246,33989.438564661694,33081.41448958689,35,34,False,False,False,472.0,,,Accessories,,0.0,16520.0,16048.0,17469.438564661694,51.396667030635825,Continue (active Jul/Aug26),0.0,False
ANLOG-MAX-RFID-MGSAF-CRD-WLET,Money Clip,Accessories,1264371.0,429.0,269.0,66,True,632185.5,214.5,2947.2517482517483,41916483.0,0.7645721803750198,0.7441467195192246,483351.4461364721,470438.7659526208,165,160,True,True,True,880.0,Analog RFID MagSafe 7 Card Wallet with Money Clip,,Phone Wallets,DailyObjects,1094426.0,145200.0,140800.0,338151.4461364721,69.95974644110127,Continue (active Jul/Aug26),1.731178586032106,False
ANLOG-SLM-RFID-MGSAF-CRD-WLET,Analog RFID,Accessories,178401.0,99.0,74.0,14,True,89200.5,49.5,1802.030303030303,41916483.0,0.7645721803750198,0.7441467195192246,68200.22077554195,66378.2594544746,38,37,True,True,True,640.0,Analog RFID MagSafe 5 Card Wallet,,Phone Wallets,DailyObjects,620586.0,24320.0,23680.0,43880.22077554195,64.3402913899046,Continue (active Jul/Aug26),6.957203154690837,True
APL-WATCH-SCRN-PRTOR-41,Watch Screen Protector,Accessories,13566.0,34.0,29.0,26,True,6783.0,17.0,399.0,41916483.0,0.7645721803750198,0.7441467195192246,5186.09309948376,5047.547198498901,13,13,True,True,True,,Tempered Glass Apple Watch Screen Protector (41mm),,Screen Guards,Apple Watch,51129.0,,,,,Continue (active Jul/Aug26),7.53781512605042,True
APL-WATCH-SCRN-PRTOR-42,Watch Screen Protector,Accessories,13215.0,35.0,27.0,25,True,6607.5,17.5,377.57142857142856,41916483.0,0.7645721803750198,0.7441467195192246,5051.910681827943,4916.949449223277,14,14,True,True,True,,Apple Watch Screen Protector - 42mm (not compatible with Series 10),,Screen Guards,Apple Watch,16445.0,,,,,Continue (active Jul/Aug26),2.4888384411653424,False
APL-WATCH-SCRN-PRTOR-44,Watch Screen Protector,Accessories,36543.0,97.0,79.0,41,True,18271.5,48.5,376.7319587628866,41916483.0,0.7645721803750198,0.7441467195192246,13969.880593722177,13596.676785695512,38,37,True,True,True,,Tempered Glass Apple Watch Screen Protector (44mm),,Screen Guards,Apple Watch,58006.0,,,,,Continue (active Jul/Aug26),3.174670935610103,True
APL-WATCH-SCRN-PRTOR-45,Watch Screen Protector,Accessories,23940.0,60.0,50.0,37,True,11970.0,30.0,399.0,41916483.0,0.7645721803750198,0.7441467195192246,9151.928999088988,8907.43623264512,23,23,True,True,True,,Tempered Glass Apple Watch Screen Protector (45mm),,Screen Guards,Apple Watch,50830.0,,,,,Continue (active Jul/Aug26),4.246449456975773,True
APL-WATCH-SCRN-PRTOR-46,Watch Screen Protector,Accessories,53063.0,137.0,108.0,60,True,26531.5,68.5,387.3211678832117,41916483.0,0.7645721803750198,0.7441467195192246,20285.24680361984,19743.328688924303,53,51,True,True,True,,Tempered Glass Apple Watch Screen Protector (46mm),,Screen Guards,Apple Watch,73355.0,,,,,Continue (active Jul/Aug26),2.7648267154137534,False
APL-WATCH-SCRN-PRTOR-49,Watch Screen Protector,Accessories,9576.0,24.0,17.0,17,True,4788.0,12.0,399.0,41916483.0,0.7645721803750198,0.7441467195192246,3660.771599635595,3562.9744930580478,10,9,True,True,True,,Tempered Glass Apple Watch Screen Protector (49mm),,Screen Guards,Apple Watch,18239.0,,,,,Continue (active Jul/Aug26),3.8093149540517963,True
ARET-LAPTOP-STND-BLK,Arete,Home Office,701740.0,260.0,179.0,61,True,350870.0,130.0,2699.0,15644036.0,0.8756404294244335,0.9428999195133756,307235.95747215097,330835.2947596581,114,123,True,True,True,,Arete Laptop Stand - (Black),,Desks,DailyObjects,329157.0,,,,,Continue (active Jul/Aug26),0.9381166813919686,False
ARET-LAPTOP-STND-BLUE,Arete,Home Office,493016.0,184.0,143.0,63,True,246508.0,92.0,2679.4347826086955,15644036.0,0.8756404294244335,0.9428999195133756,215852.37097655828,232432.3733594032,81,87,True,True,True,,Arete Laptop Stand - Blue,,Desks,DailyObjects,283977.0,,,,,Continue (active Jul/Aug26),1.1519991237606892,False
ARET-LAPTOP-STND-GRN,Arete,Home Office,218619.0,81.0,50.0,43,True,109309.5,40.5,2699.0,15644036.0,0.8756404294244335,0.9428999195133756,95715.81752017012,103067.91875204734,36,39,True,True,True,,Arete Laptop Stand - Green,,Desks,DailyObjects,136041.0,,,,,Continue (active Jul/Aug26),1.2445487354712994,False
ARET-LAPTOP-STND-IVRY,Arete,Home Office,904762.0,338.0,71.0,66,True,452381.0,169.0,2676.810650887574,15644036.0,0.8756404294244335,0.9428999195133756,396123.0931034547,426550.0084893804,148,160,True,True,True,,Arete Laptop Stand - Ivory,,Desks,DailyObjects,181722.0,,,,,Continue (active Jul/Aug26),0.4017012208735557,False
ARET-LAPTOP-STND-RED,Arete,Home Office,211721.0,79.0,55.0,43,True,105860.5,39.5,2680.012658227848,15644036.0,0.8756404294244335,0.9428999195133756,92695.73367908524,99815.85692964571,35,38,True,True,True,,Arete Laptop Stand - Red,,Desks,DailyObjects,133742.0,,,,,Continue (active Jul/Aug26),1.263379636408292,False
ARMYGRN-NYLON-APL-IWATCH-STRP-42,Watchband - Nylon,Accessories,112425.0,75.0,54.0,45,True,56212.5,37.5,1499.0,41916483.0,0.7645721803750198,0.7441467195192246,42978.5136893308,41830.34747097441,29,28,True,True,False,,Army Green Nylon Apple WatchBand (42/44/45/46/49mm),,Watch Straps,Apple,31161.0,,,,,Continue (active Jul/Aug26),0.554342895263509,False
ATLA-BLUE-BRD-SOLO-LOOP-UNVRSAL-WTHBAND-22,Watchband - Braided Solo Loop,Accessories,25863.0,37.0,21.0,22,True,12931.5,18.5,699.0,41916483.0,0.7645721803750198,0.7441467195192246,9887.06515051957,9622.933303462853,15,14,True,True,False,101.0,Atlantic Blue Braided Solo Loop Universal WatchBand for Samsung/OnePlus/Fitbit Smartwatches (22mm),,Watch Straps,Universal,23453.0,1515.0,1414.0,8372.06515051957,84.67694935821895,Continue (active Jul/Aug26),1.8136333758651355,False
ATLC-BLU-PLAT-YFLD-MGNTC-IP-MINI6,Y-Fold,Cases And Sleeves,12593.0,7.0,5.0,7,True,6296.5,3.5,1799.0,34345120.5,1.2883232034218228,1.0714423217936824,8111.927050345507,6746.336579173921,5,4,True,True,True,494.0,Atlantic Blue Pleat Y-Fold Magnetic iPad Case for iPad Mini 6,,Tablet Sleeves,Apple,16786.0,2470.0,1976.0,5641.927050345507,69.55100822936029,Continue (active Jul/Aug26),2.6659255141745413,False
ATLC-BLU-PLAT-YFLD-MGNTC-IP-MINI7-8-3,Y-Fold,Cases And Sleeves,14392.0,8.0,6.0,8,True,7196.0,4.0,1799.0,34345120.5,1.2883232034218228,1.0714423217936824,9270.773771823437,7710.098947627338,6,5,True,True,True,494.0,Atlantic Blue Pleat Y-Fold Magnetic iPad Case for iPad Mini 7 2024 8.3 Inch,,Tablet Sleeves,Apple,15587.0,2964.0,2470.0,6306.773771823437,68.02855864082831,Continue (active Jul/Aug26),2.1660644802668148,False
ATLC-BLU-PLAT-YFLD-MGNTC-IPAR-11-11,Y-Fold,Cases And Sleeves,230376.0,124.0,94.0,44,True,115188.0,62.0,1857.8709677419356,34345120.5,1.2883232034218228,1.0714423217936824,148399.37315575292,123417.29816277068,80,67,True,True,True,593.0,Atlantic Blue Pleat Y-Fold Magnetic iPad Case for iPad Air 11 (M2) 2024 11 Inch,,Tablet Sleeves,Apple,98934.0,47440.0,39731.0,100959.37315575292,68.03220998096182,Continue (active Jul/Aug26),0.8588915512032503,False
ATLC-BLU-PLAT-YFLD-MGNTC-IPAR-11-2025,Y-Fold,Cases And Sleeves,87964.0,36.0,26.0,19,True,43982.0,18.0,2443.4444444444443,34345120.5,1.2883232034218228,1.0714423217936824,56663.03113289861,47124.17619712974,24,20,True,True,True,705.0,Atlantic Blue Pleat Y-Fold Magnetic iPad Case for iPad Air 11 (M3) 2025,,Tablet Sleeves,Apple,24984.0,16920.0,14100.0,39743.03113289861,70.1392607107172,Continue (active Jul/Aug26),0.5680505661406939,False
ATLC-BLU-PLAT-YFLD-MGNTC-IPAR-11-2026,Y-Fold,Cases And Sleeves,172431.0,69.0,51.0,28,True,86215.5,34.5,2499.0,34345120.5,1.2883232034218228,1.0714423217936824,111073.42914461416,92374.93549460324,45,37,True,True,False,,Atlantic Blue Pleat Y-Fold Magnetic iPad Case for iPad Air 11 (M4) 2026,,Tablet Sleeves,Apple,79447.0,,,,,Continue (active Jul/Aug26),0.9214932349751495,False
ATLC-BLU-PLAT-YFLD-MGNTC-IPAR-13-2025,Y-Fold,Cases And Sleeves,59976.0,24.0,18.0,18,True,29988.0,12.0,2499.0,34345120.5,1.2883232034218228,1.0714423217936824,38634.23622421362,32130.412345948946,16,13,True,True,False,705.0,Atlantic Blue Pleat Y-Fold Magnetic iPad Case for iPad Air 13 (M3) 2025,,Tablet Sleeves,Apple,38974.0,11280.0,9165.0,27354.236224213622,70.80309822993117,Continue (active Jul/Aug26),1.2996531946111778,False
ATLC-BLU-PLAT-YFLD-MGNTC-IPAR-13-2026,Y-Fold,Cases And Sleeves,107457.0,43.0,32.0,24,True,53728.5,21.5,2499.0,34345120.5,1.2883232034218228,1.0714423217936824,69219.67323504941,57566.98878649186,28,24,True,True,False,,Atlantic Blue Pleat Y-Fold Magnetic iPad Case for iPad Air 13 (M4) 2026,,Tablet Sleeves,Apple,31479.0,,,,,Continue (active Jul/Aug26),0.585890170021497,False
ATLC-BLU-PLAT-YFLD-MGNTC-IPAR-2024-13,Y-Fold,Cases And Sleeves,7497.0,3.0,2.0,3,True,3748.5,1.5,2499.0,34345120.5,1.2883232034218228,1.0714423217936824,4829.279528026703,4016.301543243618,2,2,True,True,True,705.0,Atlantic Blue Pleat Y-Fold Magnetic iPad Case for iPad Air 2024 13 Inch,,Tablet Sleeves,Apple,77948.0,1410.0,1410.0,3419.279528026703,70.80309822993117,Continue (active Jul/Aug26),20.794451113778845,True
ATLC-BLU-PLAT-YFLD-MGNTC-IPAR-4-10-9,Y-Fold,Cases And Sleeves,244866.0,134.0,100.0,44,True,122433.0,67.0,1827.358208955224,34345120.5,1.2883232034218228,1.0714423217936824,157733.27476454404,131179.89778416592,87,72,True,True,True,593.0,Atlantic Blue Pleat Y-Fold Magnetic iPad Case for iPad Air 4 10.9,,Tablet Sleeves,Apple,97425.0,51591.0,42696.0,106142.27476454404,67.29225328199624,Continue (active Jul/Aug26),0.795741344245424,False
ATLC-BLU-PLAT-YFLD-MGNTC-IPAR-5-10-9,Y-Fold,Cases And Sleeves,65967.0,33.0,26.0,18,True,32983.5,16.5,1999.0,34345120.5,1.2883232034218228,1.0714423217936824,42493.408380063694,35339.91782088192,22,18,True,True,True,593.0,Atlantic Blue Pleat Y-Fold Magnetic iPad Case for iPad Air 5 2022 10.9 Inch,,Tablet Sleeves,Apple,97425.0,13046.0,10674.0,29447.408380063694,69.29876774459755,Continue (active Jul/Aug26),2.9537496020737644,False
ATLC-BLU-PLAT-YFLD-MGNTC-IPAR3-11,Y-Fold,Cases And Sleeves,2199.0,1.0,1.0,1,True,1099.5,0.5,2199.0,34345120.5,1.2883232034218228,1.0714423217936824,1416.5113621622943,1178.0508328121537,1,1,False,False,True,606.0,,,Cases And Sleeves,,0.0,606.0,606.0,810.5113621622943,57.21883945392817,Continue (active Jul/Aug26),0.0,False
ATLC-BLU-PLAT-YFLD-MGNTC-IPAR4-11,Y-Fold,Cases And Sleeves,13194.0,6.0,5.0,4,True,6597.0,3.0,2199.0,34345120.5,1.2883232034218228,1.0714423217936824,8499.068172973764,7068.304996872923,4,4,False,False,True,606.0,,,Cases And Sleeves,,0.0,2424.0,2424.0,6075.068172973764,71.47922630261878,Continue (active Jul/Aug26),0.0,False
ATLC-BLU-PLAT-YFLD-MGNTC-IPPRO1ST-11,Y-Fold,Cases And Sleeves,96449.0,51.0,28.0,29,True,48224.5,25.5,1891.156862745098,34345120.5,1.2883232034218228,1.0714423217936824,62128.742323415696,51669.77024733944,33,28,True,True,True,606.0,Atlantic Blue Pleat Y-Fold Magnetic iPad Case for iPad Pro 1st Gen 2018 11 Inch,,Tablet Sleeves,Apple,41568.0,19998.0,16968.0,42130.742323415696,67.81199932247308,Continue (active Jul/Aug26),0.861968501487833,False
