Parent,Category,child_skus,base_units,base_gross,Oct_units,Oct_gross,Nov_units,Nov_gross,sep_hps_gross,event_dep_skus,avg_ASP,event_led
NDE-WIRLES-CRGNG-PHN-STND,Accessories,1,4.0,25996.0,4,19875.818401029017,3,19344.838120621764,5849.0,0,4968.954600257254,
Carbon Fiber,Cases And Sleeves,4,14.5,14335.5,21,18468.757282653543,18,15359.661404073333,0.0,0,879.4646325073115,
MONT-MCBK-ADPTR-CASE-CBLE-WNDR-30W,Home Office,1,25.5,20374.5,23,17840.73592930812,25,19211.114410125272,0.0,0,775.6841708394835,
Savanna Sleeve,Cases And Sleeves,8,13.5,13761.5,21,17729.259763889415,19,14744.653511363758,117459.0,7,844.250464947115,YES
Clip-on,Home Office,1,51.5,20223.5,46,17708.51422446503,49,19068.736522278752,103703.0,1,384.9677005318485,YES
Crest,Home Office,3,21.5,19728.5,20,17275.072211899937,22,18602.00106211963,70030.0,2,863.7536105949969,YES
Webcam Cover,Home Office,1,66.0,18714.0,58,16386.734996248848,63,17645.429093773313,0.0,0,282.5299137284284,
Ray Tote,Bags and Backpacks,2,9.0,16191.0,11,16290.49839221867,11,17764.703510165484,0.0,0,1480.9543992926062,
NDE-2IN1-WIRLES-CRGNG-DOK-LMP-WTH-STND,Accessories,1,2.0,20994.0,2,16051.428354793166,2,15622.616229586602,0.0,0,8025.714177396583,
Pivot Expandable Crossbody,Bags and Backpacks,5,17.0,15733.0,20,15829.68384934694,21,17262.18765520558,25164.0,2,791.484192467347,
Watchband - Case,Accessories,1,21.5,20353.5,17,15561.719873262966,16,15145.990255734538,16077.0,0,915.3952866625274,
Crossbody Bag,Bags and Backpacks,1,5.0,14995.0,6,15087.148625243588,6,16452.45686708242,2999.0,0,2514.524770873931,
DO RE Phone Bag,Accessories,1,13.0,19487.0,10,14899.218078968011,10,14501.187123271133,1499.0,0,1489.921807896801,
Nimbus Frosted,Cases And Sleeves,3,12.5,10237.5,18,13189.20879503091,14,10968.890769362824,1398.0,0,732.7338219461617,
LIGHT-TRAVEL-GFT-BUNDLE,Gifts,1,2.0,8598.0,4,13073.35355028406,2,6220.197100220065,0.0,0,3268.338387571015,
Poncho Airpods,Cases And Sleeves,14,18.5,9531.5,30,12279.652613415103,29,10212.452490176483,18538.0,5,409.3217537805034,
L-Zip Wallet,Wallet and Pouches,4,16.5,24183.5,11,12257.09256351456,10,11766.109528298715,39567.0,1,1114.2811421376873,
Zipper Slim Card & Coin Wallet,Wallet and Pouches,4,29.0,22796.0,18,11553.856227505443,16,11091.042769123473,87625.0,3,641.8809015280801,YES
WANDRLST-GFT-BUNDLE,Gifts,1,2.0,7598.0,4,11552.842553507597,2,5496.750124153531,0.0,0,2888.210638376899,
THE-MINI-TCH-NUT-GFT-BNDL,Gifts,1,5.0,7495.0,8,11396.229920839618,4,5422.235085618678,0.0,0,1424.5287401049522,
Watchband - Braided Solo Loop,Accessories,2,21.0,14679.0,17,11223.155035724916,16,10923.329695822698,25948.0,0,660.1855903367598,
Triangle Pouch,Wallet and Pouches,3,36.0,21264.0,19,10777.381945151594,19,10345.671760073765,9980.0,0,567.2306286921892,
BAR-DESK-COMBO-13,Home Office,1,3.0,11997.0,3,10505.05823180493,3,11311.970334401967,0.0,0,3501.68607726831,
OUT-OFC-GFT-BUNDLE,Gifts,1,1.5,5848.5,3,8892.708564647166,2,4231.079639525128,0.0,0,2964.236188215722,
NDE-PORTBL-LMP,Accessories,1,2.5,11247.5,2,8599.525598768036,2,8369.790227792479,0.0,0,4299.762799384018,
DOB-GIFT-CRD-1000,Gifts,1,5.5,5500.0,9,8362.810482270566,4,3978.958368365941,3000.0,0,929.2011646967296,
CardSafe Phone Wallet,Accessories,4,15.5,10684.5,14,8169.0714612168995,14,7950.835624703156,62320.0,2,583.5051043726356,YES
STRD-2-0-ROAR-LGND-SS-GLS24ULTRA,Cases And Sleeves,1,9.0,6159.0,12,7934.7826098750065,10,6599.01325992729,0.0,0,661.2318841562505,
STRD-3-0-THE-SURV-AP-IPH14PRO,Cases And Sleeves,1,6.0,5394.0,8,6949.215359257312,7,5779.359883755123,0.0,0,868.651919907164,
BLUE-HYBRD-CLR-DOB-AP-IPH11PRO,Cases And Sleeves,1,10.0,4988.0,13,6426.156138668052,11,5344.354301106888,0.0,0,494.31970297446554,
STRD-3-0-THE-OVER-AP-IPH14PRO,Cases And Sleeves,1,5.5,4944.5,8,6370.114079319203,6,5297.746560108863,0.0,0,796.2642599149003,
Vulcan,Cases And Sleeves,1,5.5,4894.5,8,6305.697919148111,6,5244.174444019179,0.0,0,788.2122398935139,
Glass,Cases And Sleeves,18,9.5,4790.5,19,6171.712305992242,19,5132.7444425526355,798.0,1,324.8269634732759,
Watchband - Beat,Accessories,3,11.5,8038.5,11,6146.013471944598,10,5981.823404855288,24044.0,2,558.7284974495088,
Kimono,Home Office,2,10.0,6690.0,10,5858.03447284946,11,6308.000461544483,0.0,0,585.8034472849461,
STRD-3-0-THE-OVER-AP-IPH13,Cases And Sleeves,1,5.0,4495.0,7,5791.012799381094,6,4816.133236462602,0.0,0,827.2875427687277,
Coast Airpods,Cases And Sleeves,7,6.0,4194.0,12,5403.227515151125,12,4493.629097602704,8970.0,1,450.2689595959271,
BAR-DESK-COMBO-2,Home Office,1,1.5,5998.5,2,5252.529115902465,2,5655.9851672009845,0.0,0,2626.2645579512323,
OFF-THE-GRID-PACK,Bags and Backpacks,1,2.5,4997.5,3,5028.211087339435,3,5483.237958869248,0.0,0,1676.0703624464784,
STRD-2-0-ENCOU-AP-IPH17PRO,Cases And Sleeves,1,5.5,3844.5,8,4952.958555555198,6,4119.160006135812,0.0,0,619.1198194443997,
ESENTAL-CARY-GFT-BUNDLE,Gifts,1,1.0,3199.0,2,4864.114678687917,1,2314.3068764368445,0.0,0,2432.0573393439586,
WHT-SLICNE-CLIK-UNVRSAL-WTHBAND-20,Accessories,1,9.0,6291.0,7,4809.92358673925,7,4681.427012495442,0.0,0,687.13194096275,
STRD-3-0-THE-SURV-AP-IPH13,Cases And Sleeves,1,3.5,3146.5,5,4053.708959566765,4,3371.293265523821,0.0,0,810.7417919133529,
STRD-3-0-THE-OVER-AP-IPH14PLS,Cases And Sleeves,1,3.5,3146.5,5,4053.708959566765,4,3371.293265523821,0.0,0,810.7417919133529,
STRD-3-0-THE-DRIF-AP-IPH13PRO,Cases And Sleeves,1,3.5,3146.5,5,4053.708959566765,4,3371.293265523821,0.0,0,810.7417919133529,
NIMBS-2-0-NT-PHN3APRO,Cases And Sleeves,1,5.0,3045.0,7,3922.9441544194506,6,3262.5418698617627,0.0,0,560.420593488493,
STRD-3-0-MAID-WITH-OFF-AP-IPH16,Cases And Sleeves,1,3.0,2747.0,4,3539.0238397997477,4,2943.252057967245,599.0,0,884.7559599499369,
BAR-DESK-COMBO-14,Home Office,1,1.0,3999.0,1,3501.68607726831,1,3770.6567781339895,0.0,0,3501.68607726831,
Phone Sling,Accessories,2,4.5,4545.5,4,3475.3628458946528,4,3382.518913574635,40470.0,2,868.8407114736632,YES
STRD-3-0-THE-OVER-AP-IPH13PRO,Cases And Sleeves,1,3.0,2697.0,4,3474.607679628656,4,2889.6799418775613,0.0,0,868.651919907164,
STRD-3-0-MAKE-RITU-DOB-AP-IPH16,Cases And Sleeves,1,2.5,2297.5,4,2959.922559861638,3,2461.6387343209853,0.0,0,739.9806399654095,
STRD-3-0-THE-OVER-AP-IPH14,Cases And Sleeves,1,2.5,2247.5,4,2895.506399690547,3,2408.066618231301,0.0,0,723.8765999226367,
STRD-3-0-THE-DRIF-AP-IPH14PRO,Cases And Sleeves,1,2.5,2247.5,4,2895.506399690547,3,2408.066618231301,0.0,0,723.8765999226367,
STRD-3-0-THE-DRIF-AP-IPH13,Cases And Sleeves,1,2.5,2247.5,4,2895.506399690547,3,2408.066618231301,0.0,0,723.8765999226367,
STRD-2-0-ELCTRC-BLZE-AP-IPH17PRO,Cases And Sleeves,1,2.0,2198.0,3,2831.7344011211667,3,2355.030223302514,0.0,0,943.9114670403889,
NDE-WIRLES-CRGNG-DISK,Accessories,1,1.0,3499.0,1,2675.2380591321944,1,2603.769371597767,0.0,0,2675.2380591321944,
BLK-SLICNE-SPRT-UNVRSAL-WTHBAND-22,Accessories,1,4.5,3145.5,4,2404.961793369625,4,2340.713506247721,0.0,0,601.2404483424062,
STRD-3-0-THE-SURV-AP-IPH15PLS,Cases And Sleeves,1,2.0,1798.0,3,2316.4051197524373,3,1926.4532945850408,0.0,0,772.135039917479,
STRD-3-0-DISCONN-DOB-AP-IPH14PRO,Cases And Sleeves,1,2.0,1798.0,3,2316.4051197524373,3,1926.4532945850408,0.0,0,772.135039917479,
STRD-3-0-DEAR-DRAG-AP-IPH16E,Cases And Sleeves,1,2.0,1798.0,3,2316.4051197524373,3,1926.4532945850408,0.0,0,772.135039917479,
STRD-3-0-THE-LOUD-ONE-AP-IPH16PROMAX,Cases And Sleeves,1,2.0,1798.0,3,2316.4051197524373,3,1926.4532945850408,0.0,0,772.135039917479,
STRD-3-0-SPAC-RIDE-AP-IPH13,Cases And Sleeves,1,2.0,1798.0,3,2316.4051197524373,3,1926.4532945850408,0.0,0,772.135039917479,
NDE-2IN1-WIRLES-CRGNG-DOCK,Accessories,1,1.0,2999.0,1,2292.9519689446847,1,2231.696011838155,0.0,0,2292.9519689446847,
THE-DALY-ESSE-GFT-BNDL,Gifts,1,0.5,1499.5,1,2280.006239666312,1,1084.8087406117688,0.0,0,2280.006239666312,
STRD-2-0-KIXE-DISP-AP-IPH13,Cases And Sleeves,1,3.0,1763.5,4,2271.957969234385,4,1889.488534483159,0.0,0,567.9894923085963,
STRD-3-0-HYDE-CITY-TAG-AP-IPH16E,Cases And Sleeves,1,1.5,1448.5,2,1866.1361601565104,2,1551.984203118149,0.0,0,933.0680800782552,
Meridian Briefpack,Bags and Backpacks,1,0.5,1799.5,1,1810.5584495582416,1,1974.404543668877,0.0,0,1810.5584495582416,
Flekt Silicone,Cases And Sleeves,1,2.0,1398.0,3,1801.0758383837083,3,1497.876365867568,0.0,0,600.3586127945695,
STRD-3-0-DEAR-DRAG-AP-IPH14PROMAX,Cases And Sleeves,1,1.5,1348.5,2,1737.303839814328,2,1444.8399709387809,0.0,0,868.651919907164,
STRD-3-0-FLIPSTER-DOB-AP-IPH14PRO,Cases And Sleeves,1,1.5,1348.5,2,1737.303839814328,2,1444.8399709387809,899.0,0,868.651919907164,
STRD-3-0-GOAT-AP-IPH14PRO,Cases And Sleeves,1,1.5,1348.5,2,1737.303839814328,2,1444.8399709387809,0.0,0,868.651919907164,
STRD-3-0-CURI-CAT-AP-IPH15PRO,Cases And Sleeves,1,1.5,1348.5,2,1737.303839814328,2,1444.8399709387809,0.0,0,868.651919907164,
STRD-3-0-THE-DRIF-AP-IPH14,Cases And Sleeves,1,1.5,1348.5,2,1737.303839814328,2,1444.8399709387809,0.0,0,868.651919907164,
STRD-3-0-THE-LOUD-ONE-AP-IPH14PRO,Cases And Sleeves,1,1.5,1348.5,2,1737.303839814328,2,1444.8399709387809,0.0,0,868.651919907164,
STRD-3-0-THE-TINS-KNOT-AP-IPH14PRO,Cases And Sleeves,1,1.5,1348.5,2,1737.303839814328,2,1444.8399709387809,0.0,0,868.651919907164,
STRD-3-0-MOO-MATC-DOB-AP-IPH115PLS,Cases And Sleeves,1,1.5,1348.5,2,1737.303839814328,2,1444.8399709387809,0.0,0,868.651919907164,
STRD-3-0-YOUR-AIRN-DOB-SS-GLS26,Cases And Sleeves,1,1.5,1348.5,2,1737.303839814328,2,1444.8399709387809,0.0,0,868.651919907164,
STRD-3-0-ROCO-SS-GLS26,Cases And Sleeves,1,1.5,1348.5,2,1737.303839814328,2,1444.8399709387809,0.0,0,868.651919907164,
STRD-3-0-THE-LONE-AP-IPH15PLS,Cases And Sleeves,1,1.5,1348.5,2,1737.303839814328,2,1444.8399709387809,0.0,0,868.651919907164,
STRD-3-0-TEL-MATC-DOB-AP-IPH13,Cases And Sleeves,1,1.5,1348.5,2,1737.303839814328,2,1444.8399709387809,0.0,0,868.651919907164,
STRD-3-0-THE-DRIF-AP-IPH15PLS,Cases And Sleeves,1,1.5,1348.5,2,1737.303839814328,2,1444.8399709387809,0.0,0,868.651919907164,
STRD-3-0-THE-FALS-ANG-AP-IPH15PROMAX,Cases And Sleeves,1,1.5,1348.5,2,1737.303839814328,2,1444.8399709387809,0.0,0,868.651919907164,
STRD-3-0-THE-LOUD-ONE-AP-IPH13PRO,Cases And Sleeves,1,1.5,1348.5,2,1737.303839814328,2,1444.8399709387809,0.0,0,868.651919907164,
STRD-3-0-THE-LONE-AP-IPH13,Cases And Sleeves,1,1.5,1348.5,2,1737.303839814328,2,1444.8399709387809,0.0,0,868.651919907164,
STRD-3-0-SHOP-CARD-DOB-SS-GLS26,Cases And Sleeves,1,1.5,1298.5,2,1672.8876796432369,2,1391.2678548490965,0.0,0,836.4438398216184,
STRD-2-0-LGND-THE-SKY-AP-IPH17PRO,Cases And Sleeves,1,1.0,1099.0,2,1415.8672005605831,2,1177.515111651257,0.0,0,707.9336002802916,
Urban Tech Brief,Bags and Backpacks,1,0.5,1349.5,1,1357.7930690074172,1,1480.666258227924,2699.0,0,1357.7930690074172,
NDE-3IN1-WIRLES-CRGNG-DOCK,Accessories,1,0.5,1749.5,1,1337.6190295660972,1,1301.8846857988835,0.0,0,1337.6190295660972,
STRD-3-0-BLOO-BLIS-AP-IPH16E,Cases And Sleeves,1,1.0,999.0,2,1287.034880218401,2,1070.3708794718889,0.0,0,643.5174401092005,
STRD-3-0-THE-TINS-KNOT-AP-IPH16E,Cases And Sleeves,1,1.0,999.0,2,1287.034880218401,2,1070.3708794718889,0.0,0,643.5174401092005,
STRD-3-0-YOUR-AIRN-DOB-AP-IPH16E,Cases And Sleeves,1,1.0,949.0,2,1222.6187200473098,2,1016.7987633822046,0.0,0,611.3093600236549,
STRD-3-0-HOT-PSYC-DOB-SS-GLS26,Cases And Sleeves,1,1.0,899.0,2,1158.2025598762186,2,963.2266472925204,0.0,0,579.1012799381093,
STRD-3-0-WATC-DOG-AP-IPH16E,Cases And Sleeves,1,1.0,899.0,2,1158.2025598762186,2,963.2266472925204,0.0,0,579.1012799381093,
STRD-3-0-THE-SURV-AP-IPH13PRO,Cases And Sleeves,1,1.0,899.0,2,1158.2025598762186,2,963.2266472925204,0.0,0,579.1012799381093,
STRD-3-0-DURB-DOB-AP-IPH16E,Cases And Sleeves,1,1.0,899.0,2,1158.2025598762186,2,963.2266472925204,0.0,0,579.1012799381093,
STRD-3-0-VINY-COLL-AP-IPH16E,Cases And Sleeves,1,1.0,899.0,2,1158.2025598762186,2,963.2266472925204,0.0,0,579.1012799381093,
STRD-3-0-THE-SURV-AP-IPH14PLS,Cases And Sleeves,1,1.0,899.0,2,1158.2025598762186,2,963.2266472925204,0.0,0,579.1012799381093,
STRD-3-0-THE-FEST-TIES-SS-GLS26PLS,Cases And Sleeves,1,1.0,899.0,2,1158.2025598762186,2,963.2266472925204,0.0,0,579.1012799381093,
STRD-3-0-K3-FULL-THRO-AP-IPH16E,Cases And Sleeves,1,1.0,899.0,2,1158.2025598762186,2,963.2266472925204,0.0,0,579.1012799381093,
STRD-3-0-FOR-THE-PLOT-AP-IPH15PROMAX,Cases And Sleeves,1,1.0,899.0,2,1158.2025598762186,2,963.2266472925204,0.0,0,579.1012799381093,
STRD-3-0-DELH-CITY-TAG-AP-IPH15PROMAX,Cases And Sleeves,1,1.0,899.0,2,1158.2025598762186,2,963.2266472925204,0.0,0,579.1012799381093,
STRD-3-0-THE-FEST-TIES-AP-IPH14PRO,Cases And Sleeves,1,1.0,899.0,2,1158.2025598762186,2,963.2266472925204,0.0,0,579.1012799381093,
STRD-3-0-THE-FALS-ANG-AP-IPH15PLS,Cases And Sleeves,1,1.0,899.0,2,1158.2025598762186,2,963.2266472925204,0.0,0,579.1012799381093,
STRD-3-0-THE-LONE-AP-IPH14PLS,Cases And Sleeves,1,1.0,899.0,2,1158.2025598762186,2,963.2266472925204,0.0,0,579.1012799381093,
STRD-3-0-NOST-BRB-DOB-AP-IPH16E,Cases And Sleeves,1,1.0,899.0,2,1158.2025598762186,2,963.2266472925204,0.0,0,579.1012799381093,
STRD-3-0-OFFL-DOB-AP-IPH14,Cases And Sleeves,1,1.0,899.0,2,1158.2025598762186,2,963.2266472925204,0.0,0,579.1012799381093,
STRD-3-0-BANDI-AP-IPH14PROMAX,Cases And Sleeves,1,1.0,899.0,2,1158.2025598762186,2,963.2266472925204,0.0,0,579.1012799381093,
STRD-3-0-BIL-MATC-DOB-AP-IPH15PRO,Cases And Sleeves,1,1.0,899.0,2,1158.2025598762186,2,963.2266472925204,0.0,0,579.1012799381093,
STRD-3-0-BREE-THRO-SS-GLS26PLS,Cases And Sleeves,1,1.0,899.0,2,1158.2025598762186,2,963.2266472925204,0.0,0,579.1012799381093,
STRD-3-0-THE-LONE-AP-IPH14PRO,Cases And Sleeves,1,1.0,899.0,2,1158.2025598762186,2,963.2266472925204,0.0,0,579.1012799381093,
STRD-3-0-TEL-MATC-DOB-SS-GLS26,Cases And Sleeves,1,1.0,899.0,2,1158.2025598762186,2,963.2266472925204,0.0,0,579.1012799381093,
STRD-3-0-THE-LOUD-ONE-AP-IPH13,Cases And Sleeves,1,1.0,899.0,2,1158.2025598762186,2,963.2266472925204,0.0,0,579.1012799381093,
STRD-3-0-ANOT-ONE-DOB-AP-IPH13,Cases And Sleeves,1,1.0,899.0,2,1158.2025598762186,2,963.2266472925204,0.0,0,579.1012799381093,
NDE-WIRLES-AP-WTCH-CRGNG-STND,Accessories,1,0.5,1499.5,1,1146.4759844723424,1,1115.8480059190774,0.0,0,1146.4759844723424,
STRD-3-0-GIRL-RUNTHE-WOR-SS-GLS26PLS,Cases And Sleeves,1,1.0,849.0,2,1093.7863997051277,2,909.6545312028364,0.0,0,546.8931998525638,
STRD-3-0-KIXE-ARCA-3-0-SS-GLS26,Cases And Sleeves,1,1.0,849.0,2,1093.7863997051277,2,909.6545312028364,0.0,0,546.8931998525638,
STRD-3-0-FOR-THE-PLOT-SS-GLS26,Cases And Sleeves,1,1.0,849.0,2,1093.7863997051277,2,909.6545312028364,0.0,0,546.8931998525638,
STRD-3-0-NEON-HEAR-SS-GLS26,Cases And Sleeves,1,1.0,849.0,2,1093.7863997051277,2,909.6545312028364,0.0,0,546.8931998525638,
Frosted Magnetic,Cases And Sleeves,1,1.0,799.0,2,1029.3702395340365,2,856.0824151131523,1598.0,0,514.6851197670183,
DOB-GIFT-CRD-500,Gifts,1,1.0,500.0,2,760.2554983882334,1,361.72348803326736,3000.0,1,380.1277491941167,YES
STRD-2-0-FRDM-LIF-FRDM-RDE-AP-IPH17PRO,Cases And Sleeves,1,0.5,549.5,1,707.9336002802917,1,588.7575558256285,0.0,0,707.9336002802917,
STRD-2-0-MIDN-FROL-AP-IPH17PRO,Cases And Sleeves,1,0.5,549.5,1,707.9336002802917,1,588.7575558256285,0.0,0,707.9336002802917,
STRD-2-0-EXTRA-SDTH-AP-IPH17PRO,Cases And Sleeves,1,0.5,549.5,1,707.9336002802917,1,588.7575558256285,0.0,0,707.9336002802917,
STRD-2-0-JHOO-MEL-DOB-AP-IPH17PRO,Cases And Sleeves,1,0.5,549.5,1,707.9336002802917,1,588.7575558256285,0.0,0,707.9336002802917,
STRD-2-0-HYPER-SDTH-AP-IPH17PRO,Cases And Sleeves,1,0.5,549.5,1,707.9336002802917,1,588.7575558256285,0.0,0,707.9336002802917,
STRD-2-0-GHOD-MEL-DOB-AP-IPH17PRO,Cases And Sleeves,1,0.5,549.5,1,707.9336002802917,1,588.7575558256285,0.0,0,707.9336002802917,
STRD-3-0-HUST-WHNTHEY-RES-AP-IPH16E,Cases And Sleeves,1,0.5,499.5,1,643.5174401092005,1,535.1854397359443,0.0,0,643.5174401092005,
STRD-3-0-GLAM-NO-DAM-DOB-AP-IPH16E,Cases And Sleeves,1,0.5,499.5,1,643.5174401092005,1,535.1854397359443,599.0,0,643.5174401092005,
STRD-3-0-NO-INTE-DOB-AP-IPH16E,Cases And Sleeves,1,0.5,499.5,1,643.5174401092005,1,535.1854397359443,0.0,0,643.5174401092005,
STRD-3-0-RAVE-RUSH-AP-IPH16E,Cases And Sleeves,1,0.5,499.5,1,643.5174401092005,1,535.1854397359443,0.0,0,643.5174401092005,
STRD-3-0-MEOW-TOGE-AP-IPH16E,Cases And Sleeves,1,0.5,499.5,1,643.5174401092005,1,535.1854397359443,0.0,0,643.5174401092005,
STRD-3-0-RAN-MATC-DOB-AP-IPH16E,Cases And Sleeves,1,0.5,499.5,1,643.5174401092005,1,535.1854397359443,0.0,0,643.5174401092005,
STRD-3-0-MNKY-SHDR-TWT-AP-IPH16E,Cases And Sleeves,1,0.5,499.5,1,643.5174401092005,1,535.1854397359443,0.0,0,643.5174401092005,
STRD-3-0-ALWA-CHIC-DOB-AP-IPH16E,Cases And Sleeves,1,0.5,499.5,1,643.5174401092005,1,535.1854397359443,0.0,0,643.5174401092005,
STRD-2-0-THE-SURV-AP-IPH17E,Cases And Sleeves,1,0.5,499.5,1,643.5174401092005,1,535.1854397359443,0.0,0,643.5174401092005,
STRD-2-0-THE-LOUD-ONE-AP-IPH17E,Cases And Sleeves,1,0.5,499.5,1,643.5174401092005,1,535.1854397359443,0.0,0,643.5174401092005,
Sling Bag,Cases And Sleeves,1,1.0,499.0,2,642.8732785074895,2,534.6497185750475,4939.0,1,321.4366392537448,YES
STRD-3-0-AMRI-CITY-TAG-AP-IPH16E,Cases And Sleeves,1,0.5,449.5,1,579.1012799381093,1,481.6133236462602,0.0,0,579.1012799381093,
STRD-3-0-ANOT-ONE-DOB-AP-IPH16E,Cases And Sleeves,1,0.5,449.5,1,579.1012799381093,1,481.6133236462602,0.0,0,579.1012799381093,
STRD-3-0-BENG-GLA-HOUP-AP-IPH16E,Cases And Sleeves,1,0.5,449.5,1,579.1012799381093,1,481.6133236462602,0.0,0,579.1012799381093,
STRD-3-0-AMRI-CITY-TAG-AP-IPH16,Cases And Sleeves,1,0.5,449.5,1,579.1012799381093,1,481.6133236462602,0.0,0,579.1012799381093,
