campaign_id,channel,send_time
6a7c66f15efa4e011e4f700e,PUSH,2026-08-13
6a76215d03c7c6b6067b9d0f,EMAIL,2026-08-09
6a762122ec7cf9b130ad551e,EMAIL,2026-08-08
6a761e24a691db8f2b01626b,WHATSAPP,2026-08-07
6a75ef78d68b04771210b42d,PUSH,2026-08-09
6a75edbd4a6056388f6c8afb,PUSH,2026-08-09
6a75ed520cc5a126d545aa70,PUSH,2026-08-08
6a75e91b1cbab260312142cb,PUSH,2026-08-08
6a75c8ff0cc5a126d545a2ad,PUSH,2026-08-07
6a6d80ca01f2d35894c911e7,EMAIL,2026-08-02
6a6d8087018b74db5f42c7de,EMAIL,2026-08-01
6a6c8dd293ac3fc662e04a00,PUSH,2026-08-02
6a6c8d294e17b3eb14d45285,PUSH,2026-08-02
6a6c8ca6263aea39e115c523,PUSH,2026-08-01
6a6c8c41e63ba1bbf755e35b,PUSH,2026-07-31
6a6c8b9081a60d2355f76b56,PUSH,2026-08-01
6a6c4382794c0e5ec4b92f38,WHATSAPP,2026-08-02
6a6c42322b2e71f4571cdfc0,WHATSAPP,2026-08-02
6a6c3f77e332e6a0048589ff,WHATSAPP,2026-08-02
6a6c3eba2be5bf622265df5d,WHATSAPP,2026-08-02
6a6b3af3226e7a29d7f3dc04,WHATSAPP,2026-08-02
6a6b3a6f594e3a9a87be5768,WHATSAPP,2026-08-02
6a6b19449a7725bfce4d5476,WHATSAPP,2026-08-02
6a6b161704f5807047c16c11,WHATSAPP,2026-08-02
6a6b0fb69917d62b6298b9b7,WHATSAPP,2026-08-02
6a6b0d20c35d4937c3c2adda,WHATSAPP,2026-08-02
6a6b0a6ac4ac46961d68d130,WHATSAPP,2026-08-02
6a6b09b4f557807751d80243,WHATSAPP,2026-08-02
6a6b08acafe34e5b9137fad2,WHATSAPP,2026-08-02
6a6b0769f7734687a5af117c,WHATSAPP,2026-08-02
6a6af4e8c38691c1b740c04b,WHATSAPP,2026-08-02
6a69ee20809a6486fd92bda4,WHATSAPP,2026-07-29
6a65c6085ee3cfa9ba2ab7df,WHATSAPP,2026-07-26
6a65c511715d04411b826efb,WHATSAPP,2026-07-26
6a65c2f38a3c37274cd6f830,WHATSAPP,2026-07-26
6a65c15e67bc5d1a09222f99,WHATSAPP,2026-07-26
6a658c7fd9308e97ea66619b,WHATSAPP,2026-07-26
